Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Covasna, Year 2018, Number of persons, 1877
Total, Total, Total, Covasna, Year 2019, Number of persons, 2202
Total, Total, Total, Covasna, Year 2020, Number of persons, 1583
Total, Total, Total, Covasna, Year 2021, Number of persons, 2117
Total, Total, Total, Covasna, Year 2022, Number of persons, 3187
Total, Total, Total, Covasna, Year 2023, Number of persons, 3502
Total, Total, Total, Covasna, Year 2024, Number of persons, 3096
Total, Total, Total, Harghita, Year 2013, Number of persons, 2557
Total, Total, Total, Harghita, Year 2014, Number of persons, 2264
Total, Total, Total, Harghita, Year 2015, Number of persons, 2210
Total, Total, Total, Harghita, Year 2016, Number of persons, 2288
Total, Total, Total, Harghita, Year 2017, Number of persons, 2953
Total, Total, Total, Harghita, Year 2018, Number of persons, 2872
Total, Total, Total, Harghita, Year 2019, Number of persons, 3369
Total, Total, Total, Harghita, Year 2020, Number of persons, 2422
Total, Total, Total, Harghita, Year 2021, Number of persons, 3240
Total, Total, Total, Harghita, Year 2022, Number of persons, 4878
Total, Total, Total, Harghita, Year 2023, Number of persons, 5248
Total, Total, Total, Harghita, Year 2024, Number of persons, 4640
Total, Total, Total, Mures, Year 2013, Number of persons, 4407
Total, Total, Total, Mures, Year 2014, Number of persons, 3902
Total, Total, Total, Mures, Year 2015, Number of persons, 3809
Total, Total, Total, Mures, Year 2016, Number of persons, 3943
Total, Total, Total, Mures, Year 2017, Number of persons, 5090
Total, Total, Total, Mures, Year 2018, Number of persons, 4951
Total, Total, Total, Mures, Year 2019, Number of persons, 5807
Total, Total, Total, Mures, Year 2020, Number of persons, 4175
Total, Total, Total, Mures, Year 2021, Number of persons, 5584
Total, Total, Total, Mures, Year 2022, Number of persons, 8406
Total, Total, Total, Mures, Year 2023, Number of persons, 9154
Total, Total, Total, Mures, Year 2024, Number of persons, 8093
Total, Total, Total, Sibiu, Year 2013, Number of persons, 3069
Total, Total, Total, Sibiu, Year 2014, Number of persons, 2717
Total, Total, Total, Sibiu, Year 2015, Number of persons, 2652
Total, Total, Total, Sibiu, Year 2016, Number of persons, 2745
Total, Total, Total, Sibiu, Year 2017, Number of persons, 3543
Total, Total, Total, Sibiu, Year 2018, Number of persons, 3446
Total, Total, Total, Sibiu, Year 2019, Number of persons, 4042
Total, Total, Total, Sibiu, Year 2020, Number of persons, 2906
Total, Total, Total, Sibiu, Year 2021, Number of persons, 3887
Total, Total, Total, Sibiu, Year 2022, Number of persons, 5852
Total, Total, Total, Sibiu, Year 2023, Number of persons, 6300
Total, Total, Total, Sibiu, Year 2024, Number of persons, 5570
Total, Total, Total, Bacau, Year 2013, Number of persons, 4573
Total, Total, Total, Bacau, Year 2014, Number of persons, 4049
Total, Total, Total, Bacau, Year 2015, Number of persons, 3953
Total, Total, Total, Bacau, Year 2016, Number of persons, 4092
Total, Total, Total, Bacau, Year 2017, Number of persons, 5282
Total, Total, Total, Bacau, Year 2018, Number of persons, 5137
Total, Total, Total, Bacau, Year 2019, Number of persons, 6025
Total, Total, Total, Bacau, Year 2020, Number of persons, 4331
Total, Total, Total, Bacau, Year 2021, Number of persons, 5793
Total, Total, Total, Bacau, Year 2022, Number of persons, 8721
Total, Total, Total, Bacau, Year 2023, Number of persons, 9919
Total, Total, Total, Bacau, Year 2024, Number of persons, 8770
Total, Total, Total, Botosani, Year 2013, Number of persons, 2855
Total, Total, Total, Botosani, Year 2014, Number of persons, 2528
Total, Total, Total, Botosani, Year 2015, Number of persons, 2468
Total, Total, Total, Botosani, Year 2016, Number of persons, 2555
Total, Total, Total, Botosani, Year 2017, Number of persons, 3298
Total, Total, Total, Botosani, Year 2018, Number of persons, 3208
Total, Total, Total, Botosani, Year 2019, Number of persons, 3763
Total, Total, Total, Botosani, Year 2020, Number of persons, 2705
Total, Total, Total, Botosani, Year 2021, Number of persons, 3618
Total, Total, Total, Botosani, Year 2022, Number of persons, 5447
Total, Total, Total, Botosani, Year 2023, Number of persons, 6583
Total, Total, Total, Botosani, Year 2024, Number of persons, 5820
Total, Total, Total, Iasi, Year 2013, Number of persons, 5825
Total, Total, Total, Iasi, Year 2014, Number of persons, 5157
Total, Total, Total, Iasi, Year 2015, Number of persons, 5034
Total, Total, Total, Iasi, Year 2016, Number of persons, 5211
Total, Total, Total, Iasi, Year 2017, Number of persons, 6727
Total, Total, Total, Iasi, Year 2018, Number of persons, 6543
Total, Total, Total, Iasi, Year 2019, Number of persons, 7674
Total, Total, Total, Iasi, Year 2020, Number of persons, 5517
Total, Total, Total, Iasi, Year 2021, Number of persons, 7379
Total, Total, Total, Iasi, Year 2022, Number of persons, 11109
Total, Total, Total, Iasi, Year 2023, Number of persons, 12293
Total, Total, Total, Iasi, Year 2024, Number of persons, 10869
Total, Total, Total, Neamt, Year 2013, Number of persons, 3720
Total, Total, Total, Neamt, Year 2014, Number of persons, 3294
Total, Total, Total, Neamt, Year 2015, Number of persons, 3216
Total, Total, Total, Neamt, Year 2016, Number of persons, 3329
Total, Total, Total, Neamt, Year 2017, Number of persons, 4297
Total, Total, Total, Neamt, Year 2018, Number of persons, 4179
Total, Total, Total, Neamt, Year 2019, Number of persons, 4902
Total, Total, Total, Neamt, Year 2020, Number of persons, 3524
Total, Total, Total, Neamt, Year 2021, Number of persons, 4714
Total, Total, Total, Neamt, Year 2022, Number of persons, 7097
Total, Total, Total, Neamt, Year 2023, Number of persons, 7897
Total, Total, Total, Neamt, Year 2024, Number of persons, 6982
Total, Total, Total, Suceava, Year 2013, Number of persons, 4685
Total, Total, Total, Suceava, Year 2014, Number of persons, 4148
Total, Total, Total, Suceava, Year 2015, Number of persons, 4049
Total, Total, Total, Suceava, Year 2016, Number of persons, 4191
Total, Total, Total, Suceava, Year 2017, Number of persons, 5410
Total, Total, Total, Suceava, Year 2018, Number of persons, 5262
Total, Total, Total, Suceava, Year 2019, Number of persons, 6171
Total, Total, Total, Suceava, Year 2020, Number of persons, 4435
Total, Total, Total, Suceava, Year 2021, Number of persons, 5932
Total, Total, Total, Suceava, Year 2022, Number of persons, 8930
Total, Total, Total, Suceava, Year 2023, Number of persons, 10226
Total, Total, Total, Suceava, Year 2024, Number of persons, 9041
Total, Total, Total, Vaslui, Year 2013, Number of persons, 2847
Total, Total, Total, Vaslui, Year 2014, Number of persons, 2521
Total, Total, Total, Vaslui, Year 2015, Number of persons, 2461
Total, Total, Total, Vaslui, Year 2016, Number of persons, 2547
Total, Total, Total, Vaslui, Year 2017, Number of persons, 3288
Total, Total, Total, Vaslui, Year 2018, Number of persons, 3198
Total, Total, Total, Vaslui, Year 2019, Number of persons, 3751
Total, Total, Total, Vaslui, Year 2020, Number of persons, 2697
Total, Total, Total, Vaslui, Year 2021, Number of persons, 3607
Total, Total, Total, Vaslui, Year 2022, Number of persons, 5430
Total, Total, Total, Vaslui, Year 2023, Number of persons, 6422
Total, Total, Total, Vaslui, Year 2024, Number of persons, 5678
Total, Total, Total, Braila, Year 2013, Number of persons, 2269
Total, Total, Total, Braila, Year 2014, Number of persons, 2009
Total, Total, Total, Braila, Year 2015, Number of persons, 1961
Total, Total, Total, Braila, Year 2016, Number of persons, 2030
Total, Total, Total, Braila, Year 2017, Number of persons, 2620
Total, Total, Total, Braila, Year 2018, Number of persons, 2548
Total, Total, Total, Braila, Year 2019, Number of persons, 2989
Total, Total, Total, Braila, Year 2020, Number of persons, 2149
Total, Total, Total, Braila, Year 2021, Number of persons, 2874
Total, Total, Total, Braila, Year 2022, Number of persons, 4327
Total, Total, Total, Braila, Year 2023, Number of persons, 5041
Total, Total, Total, Braila, Year 2024, Number of persons, 4457
Total, Total, Total, Buzau, Year 2013, Number of persons, 3294
Total, Total, Total, Buzau, Year 2014, Number of persons, 2916
Total, Total, Total, Buzau, Year 2015, Number of persons, 2847
Total, Total, Total, Buzau, Year 2016, Number of persons, 2947
Total, Total, Total, Buzau, Year 2017, Number of persons, 3804
Total, Total, Total, Buzau, Year 2018, Number of persons, 3700
Total, Total, Total, Buzau, Year 2019, Number of persons, 4340
Total, Total, Total, Buzau, Year 2020, Number of persons, 3120
Total, Total, Total, Buzau, Year 2021, Number of persons, 4173
Total, Total, Total, Buzau, Year 2022, Number of persons, 6282
Total, Total, Total, Buzau, Year 2023, Number of persons, 7383
Total, Total, Total, Buzau, Year 2024, Number of persons, 6528
Total, Total, Total, Constanta, Year 2013, Number of persons, 6004
Total, Total, Total, Constanta, Year 2014, Number of persons, 5316
Total, Total, Total, Constanta, Year 2015, Number of persons, 5189
Total, Total, Total, Constanta, Year 2016, Number of persons, 5371
Total, Total, Total, Constanta, Year 2017, Number of persons, 6933
Total, Total, Total, Constanta, Year 2018, Number of persons, 6743
Total, Total, Total, Constanta, Year 2019, Number of persons, 7909
Total, Total, Total, Constanta, Year 2020, Number of persons, 5686
Total, Total, Total, Constanta, Year 2021, Number of persons, 7605
Total, Total, Total, Constanta, Year 2022, Number of persons, 11449
