Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Valcea, Year 2019, Number of persons, 3576
Total, Total, Total, Valcea, Year 2020, Number of persons, 2571
Total, Total, Total, Valcea, Year 2021, Number of persons, 3439
Total, Total, Total, Valcea, Year 2022, Number of persons, 5177
Total, Total, Total, Valcea, Year 2023, Number of persons, 5933
Total, Total, Total, Valcea, Year 2024, Number of persons, 5245
Total, Total, Total, Arad, Year 2013, Number of persons, 3292
Total, Total, Total, Arad, Year 2014, Number of persons, 2915
Total, Total, Total, Arad, Year 2015, Number of persons, 2846
Total, Total, Total, Arad, Year 2016, Number of persons, 2946
Total, Total, Total, Arad, Year 2017, Number of persons, 3803
Total, Total, Total, Arad, Year 2018, Number of persons, 3699
Total, Total, Total, Arad, Year 2019, Number of persons, 4339
Total, Total, Total, Arad, Year 2020, Number of persons, 3119
Total, Total, Total, Arad, Year 2021, Number of persons, 4172
Total, Total, Total, Arad, Year 2022, Number of persons, 6281
Total, Total, Total, Arad, Year 2023, Number of persons, 7019
Total, Total, Total, Arad, Year 2024, Number of persons, 6206
Total, Total, Total, Caras-Severin, Year 2013, Number of persons, 2431
Total, Total, Total, Caras-Severin, Year 2014, Number of persons, 2152
Total, Total, Total, Caras-Severin, Year 2015, Number of persons, 2101
Total, Total, Total, Caras-Severin, Year 2016, Number of persons, 2175
Total, Total, Total, Caras-Severin, Year 2017, Number of persons, 2808
Total, Total, Total, Caras-Severin, Year 2018, Number of persons, 2731
Total, Total, Total, Caras-Severin, Year 2019, Number of persons, 3203
Total, Total, Total, Caras-Severin, Year 2020, Number of persons, 2303
Total, Total, Total, Caras-Severin, Year 2021, Number of persons, 3080
Total, Total, Total, Caras-Severin, Year 2022, Number of persons, 4637
Total, Total, Total, Caras-Severin, Year 2023, Number of persons, 4968
Total, Total, Total, Caras-Severin, Year 2024, Number of persons, 4392
Total, Total, Total, Hunedoara, Year 2013, Number of persons, 3049
Total, Total, Total, Hunedoara, Year 2014, Number of persons, 2700
Total, Total, Total, Hunedoara, Year 2015, Number of persons, 2636
Total, Total, Total, Hunedoara, Year 2016, Number of persons, 2729
Total, Total, Total, Hunedoara, Year 2017, Number of persons, 3523
Total, Total, Total, Hunedoara, Year 2018, Number of persons, 3427
Total, Total, Total, Hunedoara, Year 2019, Number of persons, 4020
Total, Total, Total, Hunedoara, Year 2020, Number of persons, 2890
Total, Total, Total, Hunedoara, Year 2021, Number of persons, 3866
Total, Total, Total, Hunedoara, Year 2022, Number of persons, 5820
Total, Total, Total, Hunedoara, Year 2023, Number of persons, 6452
Total, Total, Total, Hunedoara, Year 2024, Number of persons, 5704
Total, Total, Total, Timis, Year 2013, Number of persons, 5507
Total, Total, Total, Timis, Year 2014, Number of persons, 4876
Total, Total, Total, Timis, Year 2015, Number of persons, 4760
Total, Total, Total, Timis, Year 2016, Number of persons, 4927
Total, Total, Total, Timis, Year 2017, Number of persons, 6360
Total, Total, Total, Timis, Year 2018, Number of persons, 6186
Total, Total, Total, Timis, Year 2019, Number of persons, 7256
Total, Total, Total, Timis, Year 2020, Number of persons, 5215
Total, Total, Total, Timis, Year 2021, Number of persons, 6975
Total, Total, Total, Timis, Year 2022, Number of persons, 10501
Total, Total, Total, Timis, Year 2023, Number of persons, 11117
Total, Total, Total, Timis, Year 2024, Number of persons, 9829
