Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
20-24 years, Total, Total, Calarasi, Year 2019, Number of persons, 15563
20-24 years, Total, Total, Calarasi, Year 2020, Number of persons, 15388
20-24 years, Total, Total, Calarasi, Year 2021, Number of persons, 15472
20-24 years, Total, Total, Calarasi, Year 2022, Number of persons, 14383
20-24 years, Total, Total, Calarasi, Year 2023, Number of persons, 14580
20-24 years, Total, Total, Calarasi, Year 2024, Number of persons, 15033
20-24 years, Total, Total, Dambovita, Year 2013, Number of persons, 33008
20-24 years, Total, Total, Dambovita, Year 2014, Number of persons, 30691
20-24 years, Total, Total, Dambovita, Year 2015, Number of persons, 29129
20-24 years, Total, Total, Dambovita, Year 2016, Number of persons, 28357
20-24 years, Total, Total, Dambovita, Year 2017, Number of persons, 27946
20-24 years, Total, Total, Dambovita, Year 2018, Number of persons, 27621
20-24 years, Total, Total, Dambovita, Year 2019, Number of persons, 27187
20-24 years, Total, Total, Dambovita, Year 2020, Number of persons, 26507
20-24 years, Total, Total, Dambovita, Year 2021, Number of persons, 26449
20-24 years, Total, Total, Dambovita, Year 2022, Number of persons, 24954
20-24 years, Total, Total, Dambovita, Year 2023, Number of persons, 25085
20-24 years, Total, Total, Dambovita, Year 2024, Number of persons, 25704
20-24 years, Total, Total, Giurgiu, Year 2013, Number of persons, 16757
20-24 years, Total, Total, Giurgiu, Year 2014, Number of persons, 15596
20-24 years, Total, Total, Giurgiu, Year 2015, Number of persons, 15109
20-24 years, Total, Total, Giurgiu, Year 2016, Number of persons, 14933
20-24 years, Total, Total, Giurgiu, Year 2017, Number of persons, 15144
20-24 years, Total, Total, Giurgiu, Year 2018, Number of persons, 15241
20-24 years, Total, Total, Giurgiu, Year 2019, Number of persons, 15205
20-24 years, Total, Total, Giurgiu, Year 2020, Number of persons, 15052
20-24 years, Total, Total, Giurgiu, Year 2021, Number of persons, 14773
20-24 years, Total, Total, Giurgiu, Year 2022, Number of persons, 13215
20-24 years, Total, Total, Giurgiu, Year 2023, Number of persons, 13133
20-24 years, Total, Total, Giurgiu, Year 2024, Number of persons, 13459
20-24 years, Total, Total, Ialomita, Year 2013, Number of persons, 14042
20-24 years, Total, Total, Ialomita, Year 2014, Number of persons, 13605
20-24 years, Total, Total, Ialomita, Year 2015, Number of persons, 13345
20-24 years, Total, Total, Ialomita, Year 2016, Number of persons, 13750
20-24 years, Total, Total, Ialomita, Year 2017, Number of persons, 14272
20-24 years, Total, Total, Ialomita, Year 2018, Number of persons, 14755
20-24 years, Total, Total, Ialomita, Year 2019, Number of persons, 14513
20-24 years, Total, Total, Ialomita, Year 2020, Number of persons, 14644
20-24 years, Total, Total, Ialomita, Year 2021, Number of persons, 14764
20-24 years, Total, Total, Ialomita, Year 2022, Number of persons, 12545
20-24 years, Total, Total, Ialomita, Year 2023, Number of persons, 12725
20-24 years, Total, Total, Ialomita, Year 2024, Number of persons, 13340
20-24 years, Total, Total, Prahova, Year 2013, Number of persons, 43708
20-24 years, Total, Total, Prahova, Year 2014, Number of persons, 40881
20-24 years, Total, Total, Prahova, Year 2015, Number of persons, 38493
20-24 years, Total, Total, Prahova, Year 2016, Number of persons, 37205
20-24 years, Total, Total, Prahova, Year 2017, Number of persons, 36452
20-24 years, Total, Total, Prahova, Year 2018, Number of persons, 35998
20-24 years, Total, Total, Prahova, Year 2019, Number of persons, 34923
20-24 years, Total, Total, Prahova, Year 2020, Number of persons, 34025
20-24 years, Total, Total, Prahova, Year 2021, Number of persons, 34192
20-24 years, Total, Total, Prahova, Year 2022, Number of persons, 32282
20-24 years, Total, Total, Prahova, Year 2023, Number of persons, 32772
20-24 years, Total, Total, Prahova, Year 2024, Number of persons, 33884
20-24 years, Total, Total, Teleorman, Year 2013, Number of persons, 17969
20-24 years, Total, Total, Teleorman, Year 2014, Number of persons, 17661
20-24 years, Total, Total, Teleorman, Year 2015, Number of persons, 17693
20-24 years, Total, Total, Teleorman, Year 2016, Number of persons, 17772
20-24 years, Total, Total, Teleorman, Year 2017, Number of persons, 17974
20-24 years, Total, Total, Teleorman, Year 2018, Number of persons, 18152
20-24 years, Total, Total, Teleorman, Year 2019, Number of persons, 17603
20-24 years, Total, Total, Teleorman, Year 2020, Number of persons, 17411
20-24 years, Total, Total, Teleorman, Year 2021, Number of persons, 17157
20-24 years, Total, Total, Teleorman, Year 2022, Number of persons, 14903
20-24 years, Total, Total, Teleorman, Year 2023, Number of persons, 14645
20-24 years, Total, Total, Teleorman, Year 2024, Number of persons, 14934
20-24 years, Total, Total, Ilfov, Year 2013, Number of persons, 25609
20-24 years, Total, Total, Ilfov, Year 2014, Number of persons, 23514
20-24 years, Total, Total, Ilfov, Year 2015, Number of persons, 22277
20-24 years, Total, Total, Ilfov, Year 2016, Number of persons, 21502
20-24 years, Total, Total, Ilfov, Year 2017, Number of persons, 21497
20-24 years, Total, Total, Ilfov, Year 2018, Number of persons, 22046
20-24 years, Total, Total, Ilfov, Year 2019, Number of persons, 23283
20-24 years, Total, Total, Ilfov, Year 2020, Number of persons, 23707
20-24 years, Total, Total, Ilfov, Year 2021, Number of persons, 25794
20-24 years, Total, Total, Ilfov, Year 2022, Number of persons, 25090
20-24 years, Total, Total, Ilfov, Year 2023, Number of persons, 25219
20-24 years, Total, Total, Ilfov, Year 2024, Number of persons, 25806
20-24 years, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 140170
20-24 years, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 119180
20-24 years, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 98749
20-24 years, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 83147
20-24 years, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 71115
20-24 years, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 62096
20-24 years, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 61496
20-24 years, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 60179
20-24 years, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 60715
20-24 years, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 73301
20-24 years, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 71672
20-24 years, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 71605
20-24 years, Total, Total, Dolj, Year 2013, Number of persons, 41976
20-24 years, Total, Total, Dolj, Year 2014, Number of persons, 40063
20-24 years, Total, Total, Dolj, Year 2015, Number of persons, 38388
20-24 years, Total, Total, Dolj, Year 2016, Number of persons, 36627
20-24 years, Total, Total, Dolj, Year 2017, Number of persons, 35066
20-24 years, Total, Total, Dolj, Year 2018, Number of persons, 33865
20-24 years, Total, Total, Dolj, Year 2019, Number of persons, 33178
20-24 years, Total, Total, Dolj, Year 2020, Number of persons, 32329
20-24 years, Total, Total, Dolj, Year 2021, Number of persons, 32499
20-24 years, Total, Total, Dolj, Year 2022, Number of persons, 30829
20-24 years, Total, Total, Dolj, Year 2023, Number of persons, 31181
20-24 years, Total, Total, Dolj, Year 2024, Number of persons, 31780
20-24 years, Total, Total, Gorj, Year 2013, Number of persons, 18847
20-24 years, Total, Total, Gorj, Year 2014, Number of persons, 18632
20-24 years, Total, Total, Gorj, Year 2015, Number of persons, 18796
20-24 years, Total, Total, Gorj, Year 2016, Number of persons, 19129
20-24 years, Total, Total, Gorj, Year 2017, Number of persons, 19605
20-24 years, Total, Total, Gorj, Year 2018, Number of persons, 19965
20-24 years, Total, Total, Gorj, Year 2019, Number of persons, 19159
20-24 years, Total, Total, Gorj, Year 2020, Number of persons, 18343
20-24 years, Total, Total, Gorj, Year 2021, Number of persons, 17928
20-24 years, Total, Total, Gorj, Year 2022, Number of persons, 16306
20-24 years, Total, Total, Gorj, Year 2023, Number of persons, 16255
20-24 years, Total, Total, Gorj, Year 2024, Number of persons, 16628
20-24 years, Total, Total, Mehedinti, Year 2013, Number of persons, 13849
20-24 years, Total, Total, Mehedinti, Year 2014, Number of persons, 13518
20-24 years, Total, Total, Mehedinti, Year 2015, Number of persons, 13463
20-24 years, Total, Total, Mehedinti, Year 2016, Number of persons, 13519
20-24 years, Total, Total, Mehedinti, Year 2017, Number of persons, 13608
20-24 years, Total, Total, Mehedinti, Year 2018, Number of persons, 13787
20-24 years, Total, Total, Mehedinti, Year 2019, Number of persons, 13415
20-24 years, Total, Total, Mehedinti, Year 2020, Number of persons, 13303
20-24 years, Total, Total, Mehedinti, Year 2021, Number of persons, 13126
20-24 years, Total, Total, Mehedinti, Year 2022, Number of persons, 11034
20-24 years, Total, Total, Mehedinti, Year 2023, Number of persons, 11060
20-24 years, Total, Total, Mehedinti, Year 2024, Number of persons, 11673
20-24 years, Total, Total, Olt, Year 2013, Number of persons, 22106
20-24 years, Total, Total, Olt, Year 2014, Number of persons, 21695
20-24 years, Total, Total, Olt, Year 2015, Number of persons, 22007
20-24 years, Total, Total, Olt, Year 2016, Number of persons, 22401
20-24 years, Total, Total, Olt, Year 2017, Number of persons, 23073
20-24 years, Total, Total, Olt, Year 2018, Number of persons, 23553
20-24 years, Total, Total, Olt, Year 2019, Number of persons, 22963
20-24 years, Total, Total, Olt, Year 2020, Number of persons, 22439
20-24 years, Total, Total, Olt, Year 2021, Number of persons, 22265
20-24 years, Total, Total, Olt, Year 2022, Number of persons, 19039
20-24 years, Total, Total, Olt, Year 2023, Number of persons, 18488
20-24 years, Total, Total, Olt, Year 2024, Number of persons, 18682
20-24 years, Total, Total, Valcea, Year 2013, Number of persons, 19131
20-24 years, Total, Total, Valcea, Year 2014, Number of persons, 18485
20-24 years, Total, Total, Valcea, Year 2015, Number of persons, 18459
20-24 years, Total, Total, Valcea, Year 2016, Number of persons, 18419
20-24 years, Total, Total, Valcea, Year 2017, Number of persons, 18680
20-24 years, Total, Total, Valcea, Year 2018, Number of persons, 19034
20-24 years, Total, Total, Valcea, Year 2019, Number of persons, 18670
20-24 years, Total, Total, Valcea, Year 2020, Number of persons, 18180
20-24 years, Total, Total, Valcea, Year 2021, Number of persons, 18135
20-24 years, Total, Total, Valcea, Year 2022, Number of persons, 16003
20-24 years, Total, Total, Valcea, Year 2023, Number of persons, 16157
20-24 years, Total, Total, Valcea, Year 2024, Number of persons, 16586
20-24 years, Total, Total, Arad, Year 2013, Number of persons, 26485
20-24 years, Total, Total, Arad, Year 2014, Number of persons, 24876
20-24 years, Total, Total, Arad, Year 2015, Number of persons, 23968
20-24 years, Total, Total, Arad, Year 2016, Number of persons, 23177
20-24 years, Total, Total, Arad, Year 2017, Number of persons, 22435
20-24 years, Total, Total, Arad, Year 2018, Number of persons, 22331
20-24 years, Total, Total, Arad, Year 2019, Number of persons, 22334
20-24 years, Total, Total, Arad, Year 2020, Number of persons, 22132
20-24 years, Total, Total, Arad, Year 2021, Number of persons, 22309
20-24 years, Total, Total, Arad, Year 2022, Number of persons, 20587
20-24 years, Total, Total, Arad, Year 2023, Number of persons, 20566
20-24 years, Total, Total, Arad, Year 2024, Number of persons, 20982
20-24 years, Total, Total, Caras-Severin, Year 2013, Number of persons, 15863
20-24 years, Total, Total, Caras-Severin, Year 2014, Number of persons, 15176
20-24 years, Total, Total, Caras-Severin, Year 2015, Number of persons, 14899
20-24 years, Total, Total, Caras-Severin, Year 2016, Number of persons, 14871
20-24 years, Total, Total, Caras-Severin, Year 2017, Number of persons, 14808
20-24 years, Total, Total, Caras-Severin, Year 2018, Number of persons, 14939
20-24 years, Total, Total, Caras-Severin, Year 2019, Number of persons, 14835
20-24 years, Total, Total, Caras-Severin, Year 2020, Number of persons, 14703
20-24 years, Total, Total, Caras-Severin, Year 2021, Number of persons, 14574
20-24 years, Total, Total, Caras-Severin, Year 2022, Number of persons, 11555
20-24 years, Total, Total, Caras-Severin, Year 2023, Number of persons, 11805
20-24 years, Total, Total, Caras-Severin, Year 2024, Number of persons, 12347
20-24 years, Total, Total, Hunedoara, Year 2013, Number of persons, 20912
20-24 years, Total, Total, Hunedoara, Year 2014, Number of persons, 20218
20-24 years, Total, Total, Hunedoara, Year 2015, Number of persons, 20036
20-24 years, Total, Total, Hunedoara, Year 2016, Number of persons, 20372
20-24 years, Total, Total, Hunedoara, Year 2017, Number of persons, 20698
20-24 years, Total, Total, Hunedoara, Year 2018, Number of persons, 20905
20-24 years, Total, Total, Hunedoara, Year 2019, Number of persons, 20301
20-24 years, Total, Total, Hunedoara, Year 2020, Number of persons, 19686
20-24 years, Total, Total, Hunedoara, Year 2021, Number of persons, 19351
20-24 years, Total, Total, Hunedoara, Year 2022, Number of persons, 15888
20-24 years, Total, Total, Hunedoara, Year 2023, Number of persons, 15908
20-24 years, Total, Total, Hunedoara, Year 2024, Number of persons, 16385
20-24 years, Total, Total, Timis, Year 2013, Number of persons, 66228
20-24 years, Total, Total, Timis, Year 2014, Number of persons, 59583
20-24 years, Total, Total, Timis, Year 2015, Number of persons, 52432
20-24 years, Total, Total, Timis, Year 2016, Number of persons, 44932
20-24 years, Total, Total, Timis, Year 2017, Number of persons, 38645
20-24 years, Total, Total, Timis, Year 2018, Number of persons, 33599
20-24 years, Total, Total, Timis, Year 2019, Number of persons, 32893
20-24 years, Total, Total, Timis, Year 2020, Number of persons, 31768
20-24 years, Total, Total, Timis, Year 2021, Number of persons, 31587
20-24 years, Total, Total, Timis, Year 2022, Number of persons, 32236
20-24 years, Total, Total, Timis, Year 2023, Number of persons, 31872
20-24 years, Total, Total, Timis, Year 2024, Number of persons, 32048
25-29 years, Total, Total, Bihor, Year 2013, Number of persons, 39668
25-29 years, Total, Total, Bihor, Year 2014, Number of persons, 40806
25-29 years, Total, Total, Bihor, Year 2015, Number of persons, 41303
25-29 years, Total, Total, Bihor, Year 2016, Number of persons, 40107
25-29 years, Total, Total, Bihor, Year 2017, Number of persons, 38911
25-29 years, Total, Total, Bihor, Year 2018, Number of persons, 37434
25-29 years, Total, Total, Bihor, Year 2019, Number of persons, 35259
25-29 years, Total, Total, Bihor, Year 2020, Number of persons, 33199
25-29 years, Total, Total, Bihor, Year 2021, Number of persons, 31674
25-29 years, Total, Total, Bihor, Year 2022, Number of persons, 29794
25-29 years, Total, Total, Bihor, Year 2023, Number of persons, 29546
25-29 years, Total, Total, Bihor, Year 2024, Number of persons, 30107
25-29 years, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 18279
25-29 years, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 18505
25-29 years, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 18446
25-29 years, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 17625
25-29 years, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 16417
25-29 years, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 15185
25-29 years, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 14637
25-29 years, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 14384
25-29 years, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 14509
25-29 years, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 15954
25-29 years, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 15948
25-29 years, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 16097
25-29 years, Total, Total, Cluj, Year 2013, Number of persons, 57808
25-29 years, Total, Total, Cluj, Year 2014, Number of persons, 62414
25-29 years, Total, Total, Cluj, Year 2015, Number of persons, 67114
25-29 years, Total, Total, Cluj, Year 2016, Number of persons, 70365
25-29 years, Total, Total, Cluj, Year 2017, Number of persons, 72724
25-29 years, Total, Total, Cluj, Year 2018, Number of persons, 72769
25-29 years, Total, Total, Cluj, Year 2019, Number of persons, 66345
25-29 years, Total, Total, Cluj, Year 2020, Number of persons, 57704
25-29 years, Total, Total, Cluj, Year 2021, Number of persons, 48858
25-29 years, Total, Total, Cluj, Year 2022, Number of persons, 42156
25-29 years, Total, Total, Cluj, Year 2023, Number of persons, 42426
25-29 years, Total, Total, Cluj, Year 2024, Number of persons, 43171
25-29 years, Total, Total, Maramures, Year 2013, Number of persons, 32885
25-29 years, Total, Total, Maramures, Year 2014, Number of persons, 33631
25-29 years, Total, Total, Maramures, Year 2015, Number of persons, 33579
25-29 years, Total, Total, Maramures, Year 2016, Number of persons, 31993
25-29 years, Total, Total, Maramures, Year 2017, Number of persons, 30402
25-29 years, Total, Total, Maramures, Year 2018, Number of persons, 28450
25-29 years, Total, Total, Maramures, Year 2019, Number of persons, 26764
25-29 years, Total, Total, Maramures, Year 2020, Number of persons, 25497
25-29 years, Total, Total, Maramures, Year 2021, Number of persons, 24972
25-29 years, Total, Total, Maramures, Year 2022, Number of persons, 23834
25-29 years, Total, Total, Maramures, Year 2023, Number of persons, 23608
25-29 years, Total, Total, Maramures, Year 2024, Number of persons, 24076
25-29 years, Total, Total, Satu Mare, Year 2013, Number of persons, 23602
25-29 years, Total, Total, Satu Mare, Year 2014, Number of persons, 24097
25-29 years, Total, Total, Satu Mare, Year 2015, Number of persons, 24012
25-29 years, Total, Total, Satu Mare, Year 2016, Number of persons, 22929
25-29 years, Total, Total, Satu Mare, Year 2017, Number of persons, 21244
25-29 years, Total, Total, Satu Mare, Year 2018, Number of persons, 19764
25-29 years, Total, Total, Satu Mare, Year 2019, Number of persons, 18717
25-29 years, Total, Total, Satu Mare, Year 2020, Number of persons, 17939
25-29 years, Total, Total, Satu Mare, Year 2021, Number of persons, 17353
25-29 years, Total, Total, Satu Mare, Year 2022, Number of persons, 16859
25-29 years, Total, Total, Satu Mare, Year 2023, Number of persons, 16675
25-29 years, Total, Total, Satu Mare, Year 2024, Number of persons, 16785
25-29 years, Total, Total, Salaj, Year 2013, Number of persons, 13185
25-29 years, Total, Total, Salaj, Year 2014, Number of persons, 13493
25-29 years, Total, Total, Salaj, Year 2015, Number of persons, 13269
25-29 years, Total, Total, Salaj, Year 2016, Number of persons, 12535
25-29 years, Total, Total, Salaj, Year 2017, Number of persons, 11530
25-29 years, Total, Total, Salaj, Year 2018, Number of persons, 10374
25-29 years, Total, Total, Salaj, Year 2019, Number of persons, 9969
25-29 years, Total, Total, Salaj, Year 2020, Number of persons, 9929
25-29 years, Total, Total, Salaj, Year 2021, Number of persons, 10125
25-29 years, Total, Total, Salaj, Year 2022, Number of persons, 10326
25-29 years, Total, Total, Salaj, Year 2023, Number of persons, 10281
25-29 years, Total, Total, Salaj, Year 2024, Number of persons, 10477
25-29 years, Total, Total, Alba, Year 2013, Number of persons, 20574
25-29 years, Total, Total, Alba, Year 2014, Number of persons, 20715
25-29 years, Total, Total, Alba, Year 2015, Number of persons, 20701
25-29 years, Total, Total, Alba, Year 2016, Number of persons, 19540
25-29 years, Total, Total, Alba, Year 2017, Number of persons, 18247
25-29 years, Total, Total, Alba, Year 2018, Number of persons, 16798
25-29 years, Total, Total, Alba, Year 2019, Number of persons, 16059
25-29 years, Total, Total, Alba, Year 2020, Number of persons, 15666
25-29 years, Total, Total, Alba, Year 2021, Number of persons, 15563
25-29 years, Total, Total, Alba, Year 2022, Number of persons, 15721
25-29 years, Total, Total, Alba, Year 2023, Number of persons, 15650
25-29 years, Total, Total, Alba, Year 2024, Number of persons, 15946
25-29 years, Total, Total, Brasov, Year 2013, Number of persons, 39824
25-29 years, Total, Total, Brasov, Year 2014, Number of persons, 41144
25-29 years, Total, Total, Brasov, Year 2015, Number of persons, 42224
25-29 years, Total, Total, Brasov, Year 2016, Number of persons, 41569
25-29 years, Total, Total, Brasov, Year 2017, Number of persons, 40196
25-29 years, Total, Total, Brasov, Year 2018, Number of persons, 38112
25-29 years, Total, Total, Brasov, Year 2019, Number of persons, 35179
25-29 years, Total, Total, Brasov, Year 2020, Number of persons, 31454
25-29 years, Total, Total, Brasov, Year 2021, Number of persons, 28503
25-29 years, Total, Total, Brasov, Year 2022, Number of persons, 26686
25-29 years, Total, Total, Brasov, Year 2023, Number of persons, 26874
25-29 years, Total, Total, Brasov, Year 2024, Number of persons, 27352
25-29 years, Total, Total, Covasna, Year 2013, Number of persons, 14179
25-29 years, Total, Total, Covasna, Year 2014, Number of persons, 14433
25-29 years, Total, Total, Covasna, Year 2015, Number of persons, 14582
25-29 years, Total, Total, Covasna, Year 2016, Number of persons, 13841
25-29 years, Total, Total, Covasna, Year 2017, Number of persons, 12505
25-29 years, Total, Total, Covasna, Year 2018, Number of persons, 11201
25-29 years, Total, Total, Covasna, Year 2019, Number of persons, 10167
25-29 years, Total, Total, Covasna, Year 2020, Number of persons, 9307
25-29 years, Total, Total, Covasna, Year 2021, Number of persons, 9087
25-29 years, Total, Total, Covasna, Year 2022, Number of persons, 9627
25-29 years, Total, Total, Covasna, Year 2023, Number of persons, 9770
25-29 years, Total, Total, Covasna, Year 2024, Number of persons, 10124
25-29 years, Total, Total, Harghita, Year 2013, Number of persons, 21487
25-29 years, Total, Total, Harghita, Year 2014, Number of persons, 21673
25-29 years, Total, Total, Harghita, Year 2015, Number of persons, 21522
25-29 years, Total, Total, Harghita, Year 2016, Number of persons, 20327
25-29 years, Total, Total, Harghita, Year 2017, Number of persons, 19025
25-29 years, Total, Total, Harghita, Year 2018, Number of persons, 17657
25-29 years, Total, Total, Harghita, Year 2019, Number of persons, 16242
25-29 years, Total, Total, Harghita, Year 2020, Number of persons, 15226
25-29 years, Total, Total, Harghita, Year 2021, Number of persons, 14921
25-29 years, Total, Total, Harghita, Year 2022, Number of persons, 14601
25-29 years, Total, Total, Harghita, Year 2023, Number of persons, 14707
25-29 years, Total, Total, Harghita, Year 2024, Number of persons, 15215
25-29 years, Total, Total, Mures, Year 2013, Number of persons, 35205
25-29 years, Total, Total, Mures, Year 2014, Number of persons, 36649
25-29 years, Total, Total, Mures, Year 2015, Number of persons, 37363
25-29 years, Total, Total, Mures, Year 2016, Number of persons, 36699
25-29 years, Total, Total, Mures, Year 2017, Number of persons, 35398
25-29 years, Total, Total, Mures, Year 2018, Number of persons, 33412
25-29 years, Total, Total, Mures, Year 2019, Number of persons, 31274
25-29 years, Total, Total, Mures, Year 2020, Number of persons, 29719
25-29 years, Total, Total, Mures, Year 2021, Number of persons, 28050
25-29 years, Total, Total, Mures, Year 2022, Number of persons, 26215
25-29 years, Total, Total, Mures, Year 2023, Number of persons, 26383
25-29 years, Total, Total, Mures, Year 2024, Number of persons, 27214
25-29 years, Total, Total, Sibiu, Year 2013, Number of persons, 28776
25-29 years, Total, Total, Sibiu, Year 2014, Number of persons, 29906
25-29 years, Total, Total, Sibiu, Year 2015, Number of persons, 30551
25-29 years, Total, Total, Sibiu, Year 2016, Number of persons, 30211
25-29 years, Total, Total, Sibiu, Year 2017, Number of persons, 30017
25-29 years, Total, Total, Sibiu, Year 2018, Number of persons, 29050
25-29 years, Total, Total, Sibiu, Year 2019, Number of persons, 27484
25-29 years, Total, Total, Sibiu, Year 2020, Number of persons, 25123
25-29 years, Total, Total, Sibiu, Year 2021, Number of persons, 23210
25-29 years, Total, Total, Sibiu, Year 2022, Number of persons, 20678
25-29 years, Total, Total, Sibiu, Year 2023, Number of persons, 20382
25-29 years, Total, Total, Sibiu, Year 2024, Number of persons, 20789
25-29 years, Total, Total, Bacau, Year 2013, Number of persons, 34090
25-29 years, Total, Total, Bacau, Year 2014, Number of persons, 34681
25-29 years, Total, Total, Bacau, Year 2015, Number of persons, 34703
25-29 years, Total, Total, Bacau, Year 2016, Number of persons, 33698
25-29 years, Total, Total, Bacau, Year 2017, Number of persons, 32291
25-29 years, Total, Total, Bacau, Year 2018, Number of persons, 30735
25-29 years, Total, Total, Bacau, Year 2019, Number of persons, 30379
25-29 years, Total, Total, Bacau, Year 2020, Number of persons, 30944
25-29 years, Total, Total, Bacau, Year 2021, Number of persons, 31334
25-29 years, Total, Total, Bacau, Year 2022, Number of persons, 29096
25-29 years, Total, Total, Bacau, Year 2023, Number of persons, 28754
25-29 years, Total, Total, Bacau, Year 2024, Number of persons, 29379
25-29 years, Total, Total, Botosani, Year 2013, Number of persons, 22944
25-29 years, Total, Total, Botosani, Year 2014, Number of persons, 23258
25-29 years, Total, Total, Botosani, Year 2015, Number of persons, 22994
25-29 years, Total, Total, Botosani, Year 2016, Number of persons, 21498
25-29 years, Total, Total, Botosani, Year 2017, Number of persons, 19866
25-29 years, Total, Total, Botosani, Year 2018, Number of persons, 18111
25-29 years, Total, Total, Botosani, Year 2019, Number of persons, 17755
25-29 years, Total, Total, Botosani, Year 2020, Number of persons, 18434
25-29 years, Total, Total, Botosani, Year 2021, Number of persons, 19239
25-29 years, Total, Total, Botosani, Year 2022, Number of persons, 20994
25-29 years, Total, Total, Botosani, Year 2023, Number of persons, 20905
25-29 years, Total, Total, Botosani, Year 2024, Number of persons, 21363
25-29 years, Total, Total, Iasi, Year 2013, Number of persons, 57609
25-29 years, Total, Total, Iasi, Year 2014, Number of persons, 62960
25-29 years, Total, Total, Iasi, Year 2015, Number of persons, 67262
25-29 years, Total, Total, Iasi, Year 2016, Number of persons, 68796
25-29 years, Total, Total, Iasi, Year 2017, Number of persons, 69292
25-29 years, Total, Total, Iasi, Year 2018, Number of persons, 67797
25-29 years, Total, Total, Iasi, Year 2019, Number of persons, 63235
25-29 years, Total, Total, Iasi, Year 2020, Number of persons, 56761
25-29 years, Total, Total, Iasi, Year 2021, Number of persons, 51892
25-29 years, Total, Total, Iasi, Year 2022, Number of persons, 41715
25-29 years, Total, Total, Iasi, Year 2023, Number of persons, 42510
25-29 years, Total, Total, Iasi, Year 2024, Number of persons, 44359
25-29 years, Total, Total, Neamt, Year 2013, Number of persons, 24718
25-29 years, Total, Total, Neamt, Year 2014, Number of persons, 24863
25-29 years, Total, Total, Neamt, Year 2015, Number of persons, 24360
25-29 years, Total, Total, Neamt, Year 2016, Number of persons, 22616
25-29 years, Total, Total, Neamt, Year 2017, Number of persons, 20847
25-29 years, Total, Total, Neamt, Year 2018, Number of persons, 19375
25-29 years, Total, Total, Neamt, Year 2019, Number of persons, 19496
25-29 years, Total, Total, Neamt, Year 2020, Number of persons, 20490
25-29 years, Total, Total, Neamt, Year 2021, Number of persons, 21538
25-29 years, Total, Total, Neamt, Year 2022, Number of persons, 20669
25-29 years, Total, Total, Neamt, Year 2023, Number of persons, 20268
25-29 years, Total, Total, Neamt, Year 2024, Number of persons, 20533
25-29 years, Total, Total, Suceava, Year 2013, Number of persons, 38092
25-29 years, Total, Total, Suceava, Year 2014, Number of persons, 39031
25-29 years, Total, Total, Suceava, Year 2015, Number of persons, 39082
25-29 years, Total, Total, Suceava, Year 2016, Number of persons, 38191
25-29 years, Total, Total, Suceava, Year 2017, Number of persons, 37124
25-29 years, Total, Total, Suceava, Year 2018, Number of persons, 35994
25-29 years, Total, Total, Suceava, Year 2019, Number of persons, 35874
25-29 years, Total, Total, Suceava, Year 2020, Number of persons, 36570
25-29 years, Total, Total, Suceava, Year 2021, Number of persons, 36861
25-29 years, Total, Total, Suceava, Year 2022, Number of persons, 34239
25-29 years, Total, Total, Suceava, Year 2023, Number of persons, 34348
25-29 years, Total, Total, Suceava, Year 2024, Number of persons, 34840
25-29 years, Total, Total, Vaslui, Year 2013, Number of persons, 20423
25-29 years, Total, Total, Vaslui, Year 2014, Number of persons, 20909
25-29 years, Total, Total, Vaslui, Year 2015, Number of persons, 20743
25-29 years, Total, Total, Vaslui, Year 2016, Number of persons, 18995
25-29 years, Total, Total, Vaslui, Year 2017, Number of persons, 17002
25-29 years, Total, Total, Vaslui, Year 2018, Number of persons, 15485
25-29 years, Total, Total, Vaslui, Year 2019, Number of persons, 14987
25-29 years, Total, Total, Vaslui, Year 2020, Number of persons, 16136
25-29 years, Total, Total, Vaslui, Year 2021, Number of persons, 17140
25-29 years, Total, Total, Vaslui, Year 2022, Number of persons, 17251
25-29 years, Total, Total, Vaslui, Year 2023, Number of persons, 17222
