Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Brasov, Year 2018, Number of persons, 31832
0- 4 years, Total, Total, Brasov, Year 2019, Number of persons, 32820
0- 4 years, Total, Total, Brasov, Year 2020, Number of persons, 33051
0- 4 years, Total, Total, Brasov, Year 2021, Number of persons, 33375
0- 4 years, Total, Total, Brasov, Year 2022, Number of persons, 31670
0- 4 years, Total, Total, Brasov, Year 2023, Number of persons, 31369
0- 4 years, Total, Total, Brasov, Year 2024, Number of persons, 30161
0- 4 years, Total, Total, Covasna, Year 2013, Number of persons, 11677
0- 4 years, Total, Total, Covasna, Year 2014, Number of persons, 11507
0- 4 years, Total, Total, Covasna, Year 2015, Number of persons, 11306
0- 4 years, Total, Total, Covasna, Year 2016, Number of persons, 11087
0- 4 years, Total, Total, Covasna, Year 2017, Number of persons, 11143
0- 4 years, Total, Total, Covasna, Year 2018, Number of persons, 11057
0- 4 years, Total, Total, Covasna, Year 2019, Number of persons, 10961
0- 4 years, Total, Total, Covasna, Year 2020, Number of persons, 11012
0- 4 years, Total, Total, Covasna, Year 2021, Number of persons, 11095
0- 4 years, Total, Total, Covasna, Year 2022, Number of persons, 10927
0- 4 years, Total, Total, Covasna, Year 2023, Number of persons, 10790
0- 4 years, Total, Total, Covasna, Year 2024, Number of persons, 10307
0- 4 years, Total, Total, Harghita, Year 2013, Number of persons, 17027
0- 4 years, Total, Total, Harghita, Year 2014, Number of persons, 16552
0- 4 years, Total, Total, Harghita, Year 2015, Number of persons, 16293
0- 4 years, Total, Total, Harghita, Year 2016, Number of persons, 16029
0- 4 years, Total, Total, Harghita, Year 2017, Number of persons, 16014
0- 4 years, Total, Total, Harghita, Year 2018, Number of persons, 16018
0- 4 years, Total, Total, Harghita, Year 2019, Number of persons, 16052
0- 4 years, Total, Total, Harghita, Year 2020, Number of persons, 16020
0- 4 years, Total, Total, Harghita, Year 2021, Number of persons, 15885
0- 4 years, Total, Total, Harghita, Year 2022, Number of persons, 16051
0- 4 years, Total, Total, Harghita, Year 2023, Number of persons, 15764
0- 4 years, Total, Total, Harghita, Year 2024, Number of persons, 15240
0- 4 years, Total, Total, Mures, Year 2013, Number of persons, 29383
0- 4 years, Total, Total, Mures, Year 2014, Number of persons, 28551
0- 4 years, Total, Total, Mures, Year 2015, Number of persons, 28479
0- 4 years, Total, Total, Mures, Year 2016, Number of persons, 28439
0- 4 years, Total, Total, Mures, Year 2017, Number of persons, 28768
